provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,3,5,9,12,16,19,22,23,25,28,34,37
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,26,50,89,365,430,453,476,520,535,568,601,636
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,20,44,74,238,312,352,378,411,440,463,501,534
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,70,139,249,989,1245,1329,1399,1484,1546,1630,1747,1845
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,12,25,35,45,60,84,103,123,135,151,163,175
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,194,383,564,808,1089,1463,1881,2182,2408,2608,2782,3006
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,2,4,6,6,8,14,19,20,22,27,28,31
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,2,3,5,6,9,10,11,12,13,14,15,17
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,3,6,8,8,10,12,19,23,28,30,32,33
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,38,77,115,154,207,279,408,491,531,576,616,652
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,1,3,4,4,5,6,8,14,17,20,21,25
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,13,17,24,40,51,73,108,121,131,141,157,166
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,1,2,2,3,5,6,7,7,7,9,9,9
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,193,369,544,773,1079,1499,1995,2311,2544,2776,2966,3211
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,7,13,18,22,32,41,60,71,84,95,99,109
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,5,10,13,14,16,21,25,29,32,35,37,45
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,3,5,6,6,7,16,19,22,22,26,31,34
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,5,11,12,23,29,35,42,48,51,56,61,66
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,16,38,60,83,113,157,196,224,245,267,291,316
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,14,28,43,54,80,105,134,160,177,191,211,226
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,4,8,11,15,21,33,45,51,58,64,72,80
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,7,8,10,13,17,22,32,37,43,47,48,52
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,3,3,6,7,8,9,11,17,20,21,22,22
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,2,2,4,6,10,11,14,19,21,21,24,24
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,3,5,7,8,11,19,21,23,27,28,30,32
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,1,2,4,5,6,9,11,11,12,17,17
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,3,4,5,9,10,11,12,15,19,24,28,28
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,0,2,2,3,4,5,7,8,10,11,13,14
