inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,created_at
16,Pastaza,114202,4544,11,-1.066667000000000,-78.00111099999999,01/02/2022
17,Pichincha,3228233,256460,3067,-0.2186110000000000,-78.50972200000000,01/02/2022
24,Santa Elena,401178,6211,80,-2.226700000000000,-80.85830000000000,01/02/2022
23,Sto. Domingo Tsáchilas,511151,15396,96,-0.2541670000000000,-79.17194400000000,01/02/2022
21,Sucumbíos,230503,8305,36,0.08472200000000002,-76.88277800000000,01/02/2022
18,Tungurahua,590600,22812,317,-1.241667000000000,-78.61972200000000,01/02/2022
19,Zamora Chinchipe,120416,4584,43,-4.120000000000000,-78.80000000000000,01/02/2022
01,Azuay,881394,34929,324,-2.897414000000000,-79.00448100000000,02/02/2022
02,Bolívar,209933,10568,75,-1.605556000000000,-79.00305600000000,02/02/2022
04,Carchi,186869,11918,33,0.8121800000000000,-77.71633000000000,02/02/2022
03,Cañar,281396,11980,240,-2.733333000000000,-78.83333300000000,02/02/2022
06,Chimborazo,524004,14255,119,-1.674347000000000,-78.64829400000001,02/02/2022
05,Cotopaxi,488716,16429,117,-0.9333330000000000,-78.61666700000001,02/02/2022
07,El Oro,715751,44088,552,-3.266667000000000,-79.96666700000000,02/02/2022
08,Esmeraldas,591083,13171,26,1.050000000000000,-79.20000000000000,02/02/2022
20,Galápagos,33042,2806,49,-0.7999999999999999,-89.40000000000001,02/02/2022
09,Guayas,4387434,124284,848,-2.183333000000000,-79.88333299999999,02/02/2022
10,Imbabura,476257,24763,327,0.3626780000000000,-78.13066700000000,02/02/2022
11,Loja,521154,27251,453,-3.983333000000000,-79.20000000000000,02/02/2022
12,Los Ríos,921763,16712,51,-1.800000000000000,-79.53333300000000,02/02/2022
13,Manabí,1562079,50553,361,-1.056181000000000,-80.45521700000000,02/02/2022
14,Morona Santiago,196535,9512,103,-2.300000000000000,-78.11666700000001,02/02/2022
15,Napo,133705,6280,77,-0.9890000000000000,-77.81590000000000,02/02/2022
22,Orellana,161338,5252,11,-0.4666670000000000,-76.96666700000000,02/02/2022
16,Pastaza,114202,4580,36,-1.066667000000000,-78.00111099999999,02/02/2022
17,Pichincha,3228233,258739,2279,-0.2186110000000000,-78.50972200000000,02/02/2022
24,Santa Elena,401178,6239,28,-2.226700000000000,-80.85830000000000,02/02/2022
23,Sto. Domingo Tsáchilas,511151,15448,52,-0.2541670000000000,-79.17194400000000,02/02/2022
21,Sucumbíos,230503,8330,25,0.08472200000000002,-76.88277800000000,02/02/2022
18,Tungurahua,590600,23107,295,-1.241667000000000,-78.61972200000000,02/02/2022
19,Zamora Chinchipe,120416,4625,41,-4.120000000000000,-78.80000000000000,02/02/2022
01,Azuay,881394,35292,363,-2.897414000000000,-79.00448100000000,03/02/2022
