provincia,poblacion,total,acumuladas,lat,lng,semana
Esmeraldas,591083,61,587,1.050000000000000,-79.20000000000000,17
Galápagos,33042,0,15,-0.7999999999999999,-89.40000000000001,17
Guayas,4387434,1394,21094,-2.183333000000000,-79.88333299999999,17
Imbabura,476257,34,632,0.3626780000000000,-78.13066700000000,17
Loja,521154,51,748,-3.983333000000000,-79.20000000000000,17
Los Ríos,921763,222,1766,-1.800000000000000,-79.53333300000000,17
Manabí,1562079,473,3355,-1.056181000000000,-80.45521700000000,17
Morona Santiago,196535,5,172,-2.300000000000000,-78.11666700000001,17
Napo,133705,11,111,-0.9890000000000000,-77.81590000000000,17
Orellana,161338,7,128,-0.4666670000000000,-76.96666700000000,17
Pastaza,114202,8,114,-1.066667000000000,-78.00111099999999,17
Pichincha,3228233,311,4630,-0.2186110000000000,-78.50972200000000,17
Santa Elena,401178,201,1458,-2.226700000000000,-80.85830000000000,17
Sto. Domingo Tsáchilas,511151,61,829,-0.2541670000000000,-79.17194400000000,17
