provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
Guayas,4387434,Naranjal,95052,27,54,-2.672800000000000,-79.61499999999999,2
Guayas,4387434,Naranjito,43862,21,40,-2.173000000000000,-79.46710000000000,2
Guayas,4387434,Nobol,26444,9,17,-1.916671000000000,-80.01153900000000,2
Guayas,4387434,Palestina,18451,5,11,-1.626300000000000,-79.97700000000000,2
Guayas,4387434,Pedro Carbo,51802,19,42,-1.833333000000000,-80.23333300000000,2
Guayas,4387434,Playas,59628,23,49,-2.623330000000000,-80.38750000000000,2
Guayas,4387434,Salitre,65765,21,45,-1.829444000000000,-79.81555600000000,2
Guayas,4387434,Samborondón,102404,35,76,-2.183333000000000,-79.88333299999999,2
Guayas,4387434,San Jacinto De Yaguachi,78204,25,44,-2.120000000000000,-79.69000000000000,2
Guayas,4387434,Santa Lucía,45004,15,30,-1.713889000000000,-79.98500000000000,2
