inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,lat,lng,created_at
3,Cañar,281396,305,El Tambo,12462,1,-2.508100000000000,-78.92489999999999,17/04/2020
3,Cañar,281396,304,La Troncal,76872,1,-2.400000000000000,-79.33000000000000,17/04/2020
3,Cañar,281396,307,Suscal,6516,0,-2.436400000000000,-79.05220000000000,17/04/2020
6,Chimborazo,524004,602,Alausí,45054,1,-2.200000000000000,-78.84999999999999,17/04/2020
6,Chimborazo,524004,604,Chambo,13378,0,-1.733333000000000,-78.58333300000000,17/04/2020
6,Chimborazo,524004,605,Chunchi,12795,0,-2.283333000000000,-78.91666700000000,17/04/2020
6,Chimborazo,524004,603,Colta,44838,2,-1.700000000000000,-78.75000000000000,17/04/2020
6,Chimborazo,524004,610,Cumandá,17973,0,-2.200000000000000,-79.13333299999999,17/04/2020
6,Chimborazo,524004,606,Guamote,58291,0,-1.933333000000000,-78.71666700000000,17/04/2020
6,Chimborazo,524004,607,Guano,48395,2,-1.583333000000000,-78.63333299999999,17/04/2020
6,Chimborazo,524004,608,Pallatanga,12277,1,-1.983333000000000,-78.95000000000000,17/04/2020
6,Chimborazo,524004,609,Penipe,6955,0,-1.557300000000000,-78.53959999999999,17/04/2020
6,Chimborazo,524004,601,Riobamba,264048,5,-1.674347000000000,-78.64829400000001,17/04/2020
5,Cotopaxi,488716,502,La Maná,56905,1,-0.9299999999999999,-79.22000000000000,17/04/2020
5,Cotopaxi,488716,501,Latacunga,205624,4,-0.9333330000000000,-78.61666700000001,17/04/2020
5,Cotopaxi,488716,503,Pangua,24612,0,-1.133333000000000,-79.06666700000000,17/04/2020
5,Cotopaxi,488716,504,Pujilí,79772,0,-0.9500000000000000,-78.69000000000000,17/04/2020
5,Cotopaxi,488716,505,Salcedo,67100,0,-1.050000000000000,-78.58333300000000,17/04/2020
5,Cotopaxi,488716,506,Saquisilí,31426,0,-0.8300000000000000,-78.67000000000000,17/04/2020
5,Cotopaxi,488716,507,Sigchos,23277,0,-0.7000000000000000,-78.88333299999999,17/04/2020
7,El Oro,715751,702,Arenillas,33473,0,-3.550000000000000,-80.06000000000000,17/04/2020
7,El Oro,715751,703,Atahualpa,6436,0,-2.900000000000000,-78.93333300000000,17/04/2020
7,El Oro,715751,704,Balsas,9233,0,-3.762600000000000,-79.82530000000000,17/04/2020
