provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,168,168,168
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,12553,12571,12624
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,1421,1421,1423
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,145,145,145
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,99,99,99
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,377,377,377
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,1388,1388,1392
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,489,489,492
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,225,225,225
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,145,146,147
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,236,236,236
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,430,430,430
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,359,359,359
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,91,92,92
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,152,152,152
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,115,115,115
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,107,107,107
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,783,783,784
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,1007,1008,1009
