provincia,canton,total,acumuladas,lat,lng,semana
Los Ríos,Montalvo,2,3,-1.793800000000000,-79.28570000000001,2
Los Ríos,Palenque,2,5,-1.432800000000000,-79.74950000000000,2
Los Ríos,Puebloviejo,1,4,-1.550000000000000,-79.53388900000000,2
Los Ríos,Quevedo,21,41,-1.033333000000000,-79.45000000000000,2
Los Ríos,Quinsaloma,0,1,-1.206200000000000,-79.31450000000000,2
Los Ríos,Urdaneta,2,4,-1.570556000000000,-79.47111099999999,2
Los Ríos,Valencia,1,1,-0.9525000000000000,-79.35310000000000,2
Los Ríos,Ventanas,6,9,-1.450000000000000,-79.47000000000000,2
Los Ríos,Vinces,2,7,-1.558333000000000,-79.75000000000000,2
Manabí,Bolívar,3,6,-0.8419440000000000,-80.16194400000001,2
Manabí,Chone,5,9,-0.6833330000000000,-80.09999999999999,2
Manabí,El Carmen,8,13,-1.314700000000000,-80.01690000000001,2
Manabí,Flavio Alfaro,4,7,-0.4054000000000000,-79.90580000000000,2
Manabí,Jama,0,0,-0.2014000000000000,-80.26590000000000,2
Manabí,Jaramijó,0,1,-0.9487300000000000,-80.63630000000001,2
Manabí,Jipijapa,9,10,-1.333330000000000,-80.58329999999999,2
Manabí,Junín,2,4,-0.9291600000000000,-80.20569000000000,2
Manabí,Manta,23,61,-0.9500220000000000,-80.71620000000000,2
Manabí,Montecristi,3,6,-1.033330000000000,-80.65000000000001,2
Manabí,Olmedo,0,0,-1.396111000000000,-80.20611100000001,2
Manabí,Paján,8,12,-1.570000000000000,-80.42000000000000,2
Manabí,Pedernales,1,3,0.07010000000000001,-80.05360000000000,2
Manabí,Pichincha,2,4,-1.047300000000000,-79.81860000000000,2
Manabí,Portoviejo,32,67,-1.056181000000000,-80.45521700000000,2
Manabí,Puerto López,3,4,-1.566667000000000,-80.81666700000000,2
Manabí,Rocafuerte,1,4,-0.9200000000000000,-80.45999999999999,2
Manabí,San Vicente,2,4,-0.5892999999999999,-80.40880000000000,2
Manabí,Santa Ana,2,5,-1.206900000000000,-80.37090000000001,2
Manabí,Sucre,6,8,-0.6000000000000000,-80.41666700000000,2
Manabí,Tosagua,0,1,-0.7800000000000000,-80.26000000000001,2
Manabí,Veinticuatro de Mayo,2,10,-1.278889000000000,-80.42000000000000,2
