inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
14,Morona Santiago,1408,San Juan Bosco,-3.092300000000000,-78.51320000000000,0,0,0,1,2,1,1,0,0,0,1,1
14,Morona Santiago,1405,Santiago,-3.429800000000000,-78.56560000000000,5,2,6,2,2,1,3,3,0,0,1,3
14,Morona Santiago,1406,Sucúa,-2.460000000000000,-78.17000000000000,4,3,8,7,5,6,4,5,6,9,5,10
14,Morona Santiago,1409,Taisha,-2.339950000000000,-77.45808000000000,2,0,1,4,6,2,3,3,5,3,1,2
14,Morona Santiago,1412,Tiwintza,-2.917670000000000,-77.80170000000000,1,2,1,4,1,2,0,1,0,3,0,1
15,Napo,1503,Archidona,-0.9166670000000000,-77.78333300000000,6,5,6,20,6,9,13,8,5,4,3,5
15,Napo,1509,Carlos Julio Arosemena Tola,-1.166667000000000,-77.84999999999999,1,3,0,0,0,3,0,0,1,1,0,2
15,Napo,1504,El Chaco,-0.3402780000000000,-77.80888899999999,2,0,2,1,1,3,0,4,1,2,0,1
15,Napo,1507,Quijos,-0.4636110000000000,-77.89277800000001,3,3,3,3,3,7,4,2,1,2,3,2
15,Napo,1501,Tena,-0.9890000000000000,-77.81590000000000,21,15,25,21,21,27,24,16,18,19,23,15
22,Orellana,2202,Aguarico,-0.9211110000000000,-75.39916700000001,0,3,2,2,0,0,4,1,0,1,0,0
22,Orellana,2203,La Joya de los Sachas,-0.3000000000000000,-76.84999999999999,6,9,9,8,4,5,7,9,5,7,9,2
22,Orellana,2204,Loreto,-0.6904000000000000,-77.30830000000000,4,8,6,3,6,14,8,8,1,5,3,2
22,Orellana,2201,Orellana,-0.4666670000000000,-76.96666700000000,19,18,27,22,24,12,20,22,23,20,17,24
16,Pastaza,1604,Arajuno,-1.234370000000000,-77.68750000000000,1,1,1,2,2,1,1,2,2,1,0,3
16,Pastaza,1602,Mera,-1.460000000000000,-78.09000000000000,2,2,1,3,4,2,2,3,2,2,3,0
16,Pastaza,1601,Pastaza,-1.066667000000000,-78.00111099999999,16,26,24,22,18,15,30,15,20,19,26,25
16,Pastaza,1603,Santa Clara,-1.267100000000000,-77.88820000000000,1,0,1,1,0,0,0,0,1,0,0,0
17,Pichincha,1702,Cayambe,0.04388900000000000,-78.15610000000000,19,29,23,15,30,24,19,26,20,23,29,24
17,Pichincha,1703,Mejía,-0.5101000000000000,-78.56980000000000,18,20,17,25,21,26,31,21,23,22,25,24
17,Pichincha,1704,Pedro Moncayo,0.04369700000000000,-78.34923999999999,6,6,9,11,6,8,8,7,7,6,6,8
17,Pichincha,1708,Pedro Vicente Maldonado,0.1666670000000000,-79,1,2,4,5,2,0,2,4,2,4,2,5
17,Pichincha,1709,Puerto Quito,0.1170000000000000,-79.26400000000000,11,4,4,4,5,4,3,4,6,5,5,6
17,Pichincha,1701,Quito,-0.2186110000000000,-78.50972200000000,1147,930,1033,938,986,1025,1037,1033,1023,979,983,1046
17,Pichincha,1705,Rumiñahui,-0.3345000000000000,-78.44750000000001,28,15,14,18,25,26,29,22,20,23,31,33
17,Pichincha,1707,San Miguel de Los Bancos,0.02300000000000000,-78.89200000000000,0,3,2,3,2,3,3,5,1,2,4,6
24,Santa Elena,2402,La Libertad,-2.233333000000000,-80.90000000000001,16,25,22,21,20,26,29,31,28,18,27,15
24,Santa Elena,2403,Salinas,-2.216667000000000,-80.95000000000000,32,30,31,31,22,24,27,26,40,15,15,23
24,Santa Elena,2401,Santa Elena,-2.226700000000000,-80.85830000000000,71,53,61,58,60,47,64,64,62,43,65,54
23,Sto. Domingo Tsáchilas,2302,La Concordia,0.002300000000000000,-79.38460000000001,10,7,16,12,12,13,11,12,10,10,6,11
23,Sto. Domingo Tsáchilas,2301,Santo Domingo,-0.2541670000000000,-79.17194400000000,215,146,224,187,170,141,151,162,180,156,139,159
21,Sucumbíos,2106,Cascales,-0.06750000000000000,-77.21694400000000,2,6,2,2,1,2,7,1,5,2,8,2
