inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
15,Napo,1509,Carlos Julio Arosemena Tola,-1.166667000000000,-77.84999999999999,1,1,1,2,2,3,5,6,7,8,9,10
15,Napo,1504,El Chaco,-0.3402780000000000,-77.80888899999999,1,1,2,2,4,5,6,6,6,6,9,10
15,Napo,1507,Quijos,-0.4636110000000000,-77.89277800000001,0,5,8,9,10,11,13,15,17,19,26,26
15,Napo,1501,Tena,-0.9890000000000000,-77.81590000000000,23,36,54,64,86,106,132,153,177,199,216,231
22,Orellana,2202,Aguarico,-0.9211110000000000,-75.39916700000001,1,1,1,2,3,7,11,12,13,13,13,13
22,Orellana,2203,La Joya de los Sachas,-0.3000000000000000,-76.84999999999999,8,17,24,31,37,43,48,56,61,66,72,81
22,Orellana,2204,Loreto,-0.6904000000000000,-77.30830000000000,7,14,21,27,32,38,43,50,56,64,66,72
22,Orellana,2201,Orellana,-0.4666670000000000,-76.96666700000000,24,39,61,82,108,125,141,156,177,199,219,236
88,Otro,8800,Otro,0,0,0,0,0,0,0,1,1,1,1,2,2,2
16,Pastaza,1604,Arajuno,-1.234370000000000,-77.68750000000000,1,2,3,5,6,7,8,11,12,13,17,18
16,Pastaza,1602,Mera,-1.460000000000000,-78.09000000000000,2,4,4,4,4,5,5,7,8,9,14,14
16,Pastaza,1601,Pastaza,-1.066667000000000,-78.00111099999999,26,45,67,94,110,136,156,188,202,220,248,285
16,Pastaza,1603,Santa Clara,-1.267100000000000,-77.88820000000000,1,1,3,3,3,3,3,3,4,5,5,5
17,Pichincha,1702,Cayambe,0.04388900000000000,-78.15610000000000,20,40,60,90,123,145,174,191,215,241,257,281
17,Pichincha,1703,Mejía,-0.5101000000000000,-78.56980000000000,33,55,71,91,116,129,145,164,188,206,241,269
17,Pichincha,1704,Pedro Moncayo,0.04369700000000000,-78.34923999999999,9,14,24,27,32,36,44,52,60,66,72,79
17,Pichincha,1708,Pedro Vicente Maldonado,0.1666670000000000,-79,3,5,9,10,11,13,16,18,20,23,29,32
