inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
08,Esmeraldas,0801,Esmeraldas,1.050000000000000,-79.20000000000000,21,23,21,23,20,27,28,14,15,18,15,19,14,24,19,17,22,16,11,25,6,21,18,23,20,20,20,21,15,14,12,15,15,21,18,14,15,15,17,23,22,15,16,24,26,8,29,19,13,16,13,16
08,Esmeraldas,0803,Muisne,0.6067000000000000,-80.01830000000000,2,1,1,0,1,1,1,2,2,1,0,0,0,0,2,3,1,1,1,0,2,1,0,4,1,0,2,0,1,0,1,2,0,0,0,0,2,0,1,2,2,2,2,0,2,0,0,0,1,0,0,0
08,Esmeraldas,0804,Quinindé,0.3300000000000000,-79.48000000000000,5,11,2,5,2,8,6,10,3,8,5,7,2,7,4,1,8,2,5,6,5,2,3,7,3,0,8,5,7,3,3,9,3,4,10,3,1,3,4,7,7,7,4,3,5,6,3,4,4,4,6,0
08,Esmeraldas,0807,Rioverde,1.060200000000000,-79.40440000000000,1,1,3,3,3,2,0,0,0,0,2,1,0,2,1,1,1,0,0,3,0,0,3,2,0,1,0,3,0,3,2,1,1,0,5,0,3,0,0,0,3,1,0,1,0,0,1,1,1,0,1,1
08,Esmeraldas,0805,San Lorenzo,1.265800000000000,-78.84139999999999,0,2,1,1,1,2,4,3,1,3,1,5,0,0,2,0,2,1,1,1,1,1,2,1,3,0,4,0,1,2,3,2,4,2,2,1,2,2,5,0,2,1,1,1,1,2,0,1,2,1,0,1
20,Galápagos,2002,Isabela,-0.4724000000000000,-90.68110000000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
20,Galápagos,2001,San Cristóbal,-0.8000000000000000,-89.40000000000001,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0
20,Galápagos,2003,Santa Cruz,-0.6333330000000000,-90.36666700000001,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,2,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,2,1,0,4,0,3,0,0,0
09,Guayas,0902,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,2,1,0,2,1,0,1,0,0,1,10,0,0,2,2,2,1,1,1,0,1,2,1,1,2,1,1,2,2,0,0,1,2,1,2,0,3,1,3,1,0,2,2,2,2,2,2,1,2,2,2,2
09,Guayas,0903,Balao,-2.910000000000000,-79.81000000000000,5,5,3,1,0,0,1,0,1,1,2,1,3,2,1,2,1,1,1,0,0,0,0,0,0,3,2,1,0,1,0,1,0,0,1,0,2,1,4,2,2,0,0,0,3,3,2,3,1,0,1,0
