provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,13157,13157,13161,13166,13171,13174,13187,13187
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,32059,32059,32059,32101,32174,32234,32296,32308
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,129119,129119,129413,129812,130283,130702,131026,131052
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,65673,65673,65796,65916,65993,66142,66275,66369
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,28422,28422,28422,28422,28504,28599,28683,28753
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,21343,21343,21348,21428,21555,21690,21801,21826
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,17544,17544,17569,17613,17668,17715,17755,17755
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,35608,35608,35686,35767,35913,36031,36168,36197
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,156841,156841,157136,157619,158157,158597,159014,159136
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,15073,15073,15101,15141,15195,15229,15254,15254
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,25769,25769,25887,25981,26099,26223,26369,26389
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,43366,43366,43433,43523,43613,43704,43786,43835
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,56665,56665,56803,56950,57146,57357,57561,57608
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,63895,63904,64046,64171,64256,64430,64547,64598
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,38099,38100,38173,38267,38370,38441,38516,38546
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,102116,102118,102268,102392,102609,102873,103087,103121
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,105591,105591,105671,105729,105918,105992,106225,106371
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,23627,23628,23661,23677,23692,23726,23750,23750
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,16295,16295,16309,16324,16338,16366,16385,16385
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,44421,44421,44452,44492,44533,44559,44612,44612
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,63978,63981,64013,64049,64093,64173,64224,64245
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,19120,19125,19150,19182,19209,19249,19292,19309
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,257149,257212,257401,257616,258042,258406,258694,258757
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,56412,56412,56422,56465,56511,56572,56599,56599
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,10034,10034,10058,10119,10151,10171,10184,10233
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,34617,34618,34674,34746,34894,35027,35082,35109
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,50402,50402,50431,50595,50808,51021,51212,51212
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,27972,27976,28034,28120,28192,28253,28312,28353
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,265181,265188,265320,265659,265984,266288,266596,266689
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,20417,20418,20456,20496,20536,20593,20633,20653
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,31828,31828,31871,31918,31981,32024,32063,32063
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,18657,18657,18666,18678,18700,18739,18795,18795
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,40501,40501,40557,40654,40797,40892,40964,41014
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,56378,56378,56414,56448,56486,56549,56597,56597
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,34376,34376,34411,34465,34519,34594,34677,34686
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,26021,26021,26046,26086,26143,26175,26197,26214
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,17475,17475,17528,17630,17693,17753,17753,17753
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,7160,7173,7175,7199,7199,7199,7199,7199
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,5928,5928,5937,5937,5937,5969,5969,5969
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,3597,3600,3606,3627,3642,3653,3656,3656
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,41110,41110,41218,41319,41431,41598,41598,41598
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,1612,1613,1613,1621,1621,1621,1621,1621
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,8407,8409,8409,8432,8432,8432,8432,8432
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,2083,2085,2087,2089,2108,2112,2112,2112
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,8329,8329,8339,8339,8339,8381,8381,8381
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,16149,16149,16216,16307,16397,16481,16517,16517
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,5098,5099,5156,5265,5411,5596,5596,5596
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,2981,2981,2999,2999,2999,3074,3074,3074
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,27336,27344,27365,27405,27425,27454,27484,27493
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,3425,3425,3428,3429,3444,3447,3451,3451
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,8709,8709,8709,8712,8724,8729,8735,8735
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,6933,6933,6934,6937,6940,6947,6949,6949
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,66381,66384,66448,66530,66606,66696,66760,66813
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,6482,6482,6483,6484,6485,6485,6486,6495
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,39178,39178,39229,39276,39308,39396,39448,39456
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,16222,16222,16246,16274,16288,16311,16389,16399
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,71383,71383,71471,71590,71711,71848,72014,72049
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,5242,5245,5256,5260,5295,5304,5310,5313
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,14205,14207,14226,14246,14265,14284,14304,14319
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,55716,55727,55830,55944,56076,56254,56397,56467
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,4117,4118,4119,4121,4121,4124,4127,4128
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,108262,108265,108313,108383,108458,108555,108653,108665
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,87219,87219,87287,87358,87407,87455,87519,87524
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,47287,47294,47329,47349,47400,47428,47459,47478
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,13754,13754,13800,13824,13862,13892,13927,13952
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,19552,19552,19563,19586,19622,19666,19684,19705
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,2387017,2387203,2388964,2390975,2392994,2395094,2396967,2397710
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,147700,147702,147744,147784,147829,147875,147925,147934
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,16803,16813,16831,16853,16867,16888,16912,16927
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,88305,88305,88416,88644,88851,89084,89317,89345
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,72451,72451,72562,72676,72839,73015,73157,73178
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,148515,148535,148760,148958,149169,149507,149801,149848
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,52230,52230,52316,52436,52537,52677,52834,52834
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,342908,343036,343692,344368,345072,345887,346630,346909
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,7707,7707,7710,7717,7736,7738,7756,7764
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,8157,8160,8171,8179,8185,8192,8194,8206
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,11035,11038,11064,11081,11096,11105,11116,11133
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,89053,89095,89192,89322,89477,89662,89788,89938
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,6934,6942,6948,6953,6963,6967,6970,6977
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,49264,49292,49308,49332,49378,49433,49480,49585
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,2654,2654,2654,2654,2656,2656,2656,2657
