inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
07,El Oro,715751,0706,El Guabo,63645,-3.238800000000000,-79.82920000000000,6.09%,6.09%,6.46%,6.93%,7.38%,7.82%,8.42%,8.58%,4.35%,4.59%,4.78%,4.95%,5.17%,5.82%,5.88%,5.94%,6.14%,6.33%,6.77%,7.24%,7.91%,8.21%,8.28%,8.53%,8.77%,8.9%,9.15%,9.43%
07,El Oro,715751,0707,Huaquillas,60440,-3.481380000000000,-80.24320700000000,11%,11.02%,11.55%,12.07%,12.79%,13.96%,15.23%,15.45%,7.81%,8.61%,9.27%,9.57%,9.81%,10%,10.04%,10.04%,10.24%,10.47%,10.61%,11.03%,11.39%,11.44%,11.44%,11.86%,12.36%,12.76%,13.16%,13.54%
07,El Oro,715751,0714,Las Lajas,4963,-3.785000000000000,-80.06166700000000,27.56%,27.56%,28.29%,29.1%,30.63%,32.24%,34.21%,34.21%,17.11%,19.32%,20.07%,21.02%,22.93%,24.3%,24.3%,24.3%,25.09%,25.43%,26.07%,26.9%,27.6%,27.6%,27.6%,28.67%,29.72%,30.53%,30.73%,30.93%
07,El Oro,715751,0701,Machala,289141,-3.266667000000000,-79.96666700000000,12.23%,12.25%,13.01%,14.23%,15.62%,16.74%,18.23%,18.67%,9.54%,9.97%,10.47%,10.83%,11.13%,11.42%,11.57%,11.7%,12%,12.32%,12.58%,12.95%,13.37%,13.63%,13.76%,14.08%,14.35%,14.62%,15.02%,15.41%
07,El Oro,715751,0708,Marcabelí,6259,-3.786000000000000,-79.89780000000000,19.11%,19.11%,20.23%,21.12%,22.11%,23.07%,23.84%,23.84%,11.92%,12.59%,13.39%,13.56%,13.6%,13.95%,13.95%,13.95%,14.33%,14.57%,14.81%,14.95%,15.08%,15.08%,15.08%,15.32%,15.47%,15.69%,16.04%,16.39%
07,El Oro,715751,0709,Pasaje,87723,-3.326900000000000,-79.80490000000000,11.92%,11.94%,12.58%,13.24%,14.02%,15.04%,15.91%,16.34%,8.33%,8.73%,9.35%,9.6%,10%,10.46%,10.61%,10.71%,10.87%,11.07%,11.23%,11.41%,11.61%,11.68%,11.74%,11.95%,12.16%,12.35%,12.5%,12.94%
07,El Oro,715751,0710,Piñas,30206,-3.666667000000000,-79.65000000000001,19.21%,19.21%,20.15%,21.47%,23.07%,24.17%,25.41%,25.87%,13.08%,13.68%,14.64%,15.22%,15.35%,15.93%,16.06%,16.22%,16.68%,16.96%,17.21%,17.44%,17.91%,17.96%,18.05%,18.23%,18.52%,18.71%,18.92%,19.75%
07,El Oro,715751,0711,Portovelo,14028,-3.720000000000000,-79.62000000000000,17.65%,17.65%,18.43%,19.83%,21.24%,22.26%,24.11%,24.82%,12.41%,12.8%,13.33%,14.19%,15.01%,15.22%,15.85%,15.85%,16.38%,17.07%,19.52%,20.7%,21.8%,23.27%,23.61%,24.29%,24.84%,25.33%,25.6%,27.04%
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,12.7%,12.72%,13.27%,13.93%,14.6%,15.36%,16.31%,16.85%,8.71%,9.17%,9.61%,10.13%,10.37%,10.4%,10.67%,10.83%,11.02%,11.19%,11.3%,11.52%,11.68%,11.84%,11.99%,12.17%,12.48%,12.63%,12.8%,13.09%
07,El Oro,715751,0713,Zaruma,25654,-3.433333000000000,-79.59999999999999,16.19%,16.19%,17.19%,17.92%,18.21%,20.47%,21.81%,22.33%,11.38%,12.26%,12.87%,13.5%,14.03%,14.36%,15.6%,16.44%,16.79%,17.05%,17.37%,17.85%,18.55%,18.67%,18.88%,19.05%,19.23%,19.43%,19.76%,19.88%
